n,bloque,tiempo
100,16,0.00116668
100,16,0.00114101
100,16,0.00114
100,32,0.00137076
100,32,0.00127351
100,32,0.00129281
100,64,0.00168018
100,64,0.00161723
100,64,0.00149231
100,128,0.00169947
100,128,0.00114899
100,128,0.00177756
200,16,0.0118068
200,16,0.0118146
200,16,0.00968421
200,32,0.0132691
200,32,0.0104771
200,32,0.0116068
200,64,0.0111679
200,64,0.010372
200,64,0.0141818
200,128,0.0153439
200,128,0.0101396
200,128,0.00970851
300,16,0.0401731
300,16,0.0336863
300,16,0.0351736
300,32,0.0414205
300,32,0.0389721
300,32,0.0384326
300,64,0.039593
300,64,0.0388357
300,64,0.0404848
300,128,0.0400434
300,128,0.0401446
300,128,0.034305
400,16,0.10179
400,16,0.0890704
400,16,0.0938018
400,32,0.103097
400,32,0.104906
400,32,0.101687
400,64,0.0893707
400,64,0.0925425
400,64,0.0981573
400,128,0.10012
400,128,0.108919
400,128,0.0925369
500,16,0.179998
500,16,0.182672
500,16,0.178238
500,32,0.195564
500,32,0.201531
500,32,0.174844
500,64,0.181573
500,64,0.177622
500,64,0.188861
500,128,0.194221
500,128,0.184108
500,128,0.186693
600,16,0.324368
600,16,0.306331
600,16,0.379291
600,32,0.383168
600,32,0.326813
600,32,0.343726
600,64,0.357138
600,64,0.346541
600,64,0.343262
600,128,0.339157
600,128,0.337033
600,128,0.329951
800,16,1.2234
800,16,1.05849
800,16,1.0551
800,32,1.24184
800,32,1.00253
800,32,1.22153
800,64,0.956424
800,64,0.831106
800,64,0.876954
800,128,0.918423
800,128,0.902415
800,128,0.954828
1000,16,1.87021
1000,16,2.49898
1000,16,1.68763
1000,32,1.50435
1000,32,1.52062
1000,32,1.45904
1000,64,1.52472
1000,64,1.5032
1000,64,1.53933
1000,128,1.54165
1000,128,2.16094
1000,128,1.51234
