MAX,iteraciones,t_filas,t_columnas
500,250000,0.000297966,0.000692983
500,250000,0.000287551,0.000538178
500,250000,0.000288927,0.000558119
1000,1000000,0.00178877,0.0197029
1000,1000000,0.00118119,0.0185766
1000,1000000,0.00188187,0.0181409
2000,4000000,0.00845576,0.0811915
2000,4000000,0.0072614,0.0835401
2000,4000000,0.00729694,0.0875857
3000,9000000,0.0150098,0.202708
3000,9000000,0.0101026,0.209531
3000,9000000,0.010369,0.203551
4000,16000000,0.0187889,0.393627
4000,16000000,0.0230793,0.410312
4000,16000000,0.0179436,0.407168
