n,bloque,tiempo
100,16,0.000843568
100,16,0.000849446
100,16,0.000866991
100,32,0.000858608
100,32,0.000861874
100,32,0.000866362
100,64,0.000853037
100,64,0.000837789
100,64,0.00084665
100,128,0.000906174
100,128,0.00091257
100,128,0.000975358
200,16,0.00722084
200,16,0.00744267
200,16,0.00728692
200,32,0.00731386
200,32,0.00715926
200,32,0.00737752
200,64,0.00752674
200,64,0.00757958
200,64,0.00759662
200,128,0.00779538
200,128,0.00777238
200,128,0.00780205
300,16,0.0237223
300,16,0.0235328
300,16,0.0237367
300,32,0.023971
300,32,0.0235608
300,32,0.0235621
300,64,0.0242179
300,64,0.0244319
300,64,0.0242282
300,128,0.0269817
300,128,0.0266638
300,128,0.0268017
400,16,0.0591212
400,16,0.0582167
400,16,0.0584843
400,32,0.0609488
400,32,0.060975
400,32,0.0606843
400,64,0.0634527
400,64,0.0674442
400,64,0.0648669
400,128,0.0666551
400,128,0.0671184
400,128,0.0691145
500,16,0.110018
500,16,0.109686
500,16,0.110349
500,32,0.108444
500,32,0.108007
500,32,0.107059
500,64,0.113185
500,64,0.114641
500,64,0.114103
500,128,0.12727
500,128,0.125049
500,128,0.126987
600,16,0.191987
600,16,0.193686
600,16,0.195707
600,32,0.194133
600,32,0.193871
600,32,0.193812
600,64,0.205059
600,64,0.214488
600,64,0.206308
600,128,0.222811
600,128,0.219839
600,128,0.220775
800,16,0.502266
800,16,0.498707
800,16,0.500323
800,32,0.539662
800,32,0.525303
800,32,0.535088
800,64,0.532842
800,64,0.550183
800,64,0.539971
800,128,0.562267
800,128,0.571982
800,128,0.572613
1000,16,0.936159
1000,16,0.935617
1000,16,0.931249
1000,32,0.909747
1000,32,0.905109
1000,32,0.908924
1000,64,0.960754
1000,64,0.960803
1000,64,0.958895
1000,128,1.03166
1000,128,1.03428
1000,128,1.03317
