MAX,iteraciones,t_filas,t_columnas
500,250000,0.000307093,0.000296146
500,250000,0.000305272,0.000291489
500,250000,0.000295041,0.000302125
1000,1000000,0.0013484,0.00319012
1000,1000000,0.00127639,0.00299179
1000,1000000,0.00127465,0.00306136
2000,4000000,0.00520081,0.0343111
2000,4000000,0.00495117,0.0345402
2000,4000000,0.00498575,0.0351488
3000,9000000,0.0109185,0.0870327
3000,9000000,0.0110018,0.0871255
3000,9000000,0.0111758,0.0875451
4000,16000000,0.0196224,0.172454
4000,16000000,0.0195024,0.169109
4000,16000000,0.0195131,0.169704
